|id|category|place_name|distance|x|y
1349|89|CE7|이디야커피 인천공항IBC점|589|126.462124678736|37.4388614378417
1350|90|PK6|목동공영주차장|150|126.87694887606041|37.5265414353571
1351|90|PK6|로프트가든344 주차장|316|126.87539224603832|37.523800758028
1352|90|PK6|바람개비공영주차장|426|126.874025966547|37.5303640049635
1353|90|PK6|한마음공영주차장|485|126.877908578162|37.5304834107533
1354|90|PK6|현대41타워 주차장|203|126.87606570628459|37.528367742683706
1355|90|FD6|락희안 목동점|271|126.873977116304|37.5244317598385
1356|90|FD6|일미락 본점|233|126.873011393332|37.52554436356846
1357|90|FD6|더아리엘 목동점|430|126.87103308538457|37.524711496326894
1358|90|FD6|양천뼈다귀 본점|116|126.874481615185|37.5258090277068
1359|90|FD6|젠틀한식탁|380|126.87220475747847|37.52423704098671
1360|90|CE7|놀숲 목동오목교점|120|126.874481696702|37.525760373706
1361|90|CE7|제이브라운 목동점|337|126.876774545|37.5238580704454
1362|90|CE7|카페제하|676|126.870506289479|37.5218763677329
1363|90|CE7|하니앤손스|365|126.87727016987792|37.52377569433218
1364|90|CE7|도쿄빙수 오목교역점|275|126.873823228232|37.5244532195784
1365|91|PK6|도산공원공영주차장|724|127.03551653311649|37.5230412388766
1366|91|PK6|도산대로45길 공영주차장|755|127.034371883138|37.5234091865742
1367|91|PK6|도산대로45길 노상공영주차장|711|127.035792551411|37.523030343521
1368|91|PK6|선릉로146길 공영노상주차장|731|127.04085535900613|37.521858298303776
1369|91|PK6|로데오주차장|264|127.038622384289|37.5263739725577
1370|91|FD6|뱃고동|255|127.03804340336|37.5268498895352
1371|91|FD6|뉴만두집|125|127.038876598377|37.5279236124535
1372|91|FD6|스케줄 청담|481|127.042703080533|37.524596692327
1373|91|FD6|정식당|320|127.04113346108882|37.52565232302088
1374|91|FD6|까폼 본점|439|127.037992615362|37.5248568891934
1375|91|CE7|꽁티드툴레아 도산점|428|127.036888842603|37.5255636248427
1376|91|CE7|노티드 청담|500|127.038236626868|37.52418466271341
1377|91|CE7|카페캠프통|456|127.035287631748|37.527016529432
1378|91|CE7|고센클래식|377|127.041459017307|37.5251945000821
1379|91|CE7|10꼬르소꼬모카페|269|127.04237397719|37.5267655229983
1380|92|PK6|도산공원공영주차장|724|127.03551653311649|37.5230412388766
1381|92|PK6|도산대로45길 공영주차장|755|127.034371883138|37.5234091865742
1382|92|PK6|도산대로45길 노상공영주차장|711|127.035792551411|37.523030343521
1383|92|PK6|선릉로146길 공영노상주차장|731|127.04085535900613|37.521858298303776
