id|brandNm|product|location|date|post_date|origin_data_index|start_ymd|end_ymd|date_diff|address_name|address|x|y
63|발렌티노 뷰티|메이크업 / 향수 라인|한남동|03.19(토) - 04.03(일)|2022-03-24|87.0|20220319|20220403|15|한남동부군당|서울 용산구 장문로49길 41|127.00466563557|37.5292345694785
64|빙그레투게더|아이스크림|홍대입구|6/19~7/7|2019-06-21|88.0|20190619|20190707|18|홍대입구역 2호선|서울 마포구 양화로 지하 160|126.923778562273|37.5568707448873
65|세븐일레븐|굿즈/피카츄 인형|송파구 잠실 롯데타워 광장|08.16(화)-09.12(월)|2022-08-18|89.0|20220816|20220912|27|아레나광장|서울 송파구 올림픽로 300|127.103246377233|37.5132057471322
66|오뚜기|굿즈|성수LCDC|03.15(화) - 04.09(토)|2022-03-21|90.0|20220315|20220409|25|LCDC서울|서울 성동구 연무장17길 10|127.06154597509|37.5417353247515
67|존쿡델리미트|고기|롯데백화점본점|12/17~12/25|2018-12-17|91.0|20181217|20181225|8|롯데백화점 본점|서울 중구 남대문로 81|126.98175414832635|37.564905601247865
68|스컬피그|액티브 웨어|대전 세이 백화점|10.31 ~ 11.17|2019-11-14|92.0|20191031|20191117|17|세이투백화점|대전 중구 계백로 1700|127.40847852227|36.3205485729945
69|VT코스메틱|화장품|가로수길|3/16~3/21|2019-03-16|93.0|20190316|20190321|5|Apple 가로수길|서울 강남구 가로수길 43|127.02272940977892|37.520819816124934
70|아크코펜하겐|스니커즈|현대백화점 판교|3/25~4/7|2019-03-26|94.0|20190325|20190407|13|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
71|위글위글|팝업스토어|더현대 서울 5층|04.23(토)-05.23(월)|2022-05-06|96.0|20220423|20220523|30|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
72|마이센|도자기|갤러리아 명품관 WEST 5층|02.17(수)-05.16(일)|2021-03-18|98.0|20210217|20210516|88|갤러리아백화점 WEST점|서울 강남구 압구정로 343|127.04014394421372|37.52842774945761
73|글로시블라썸|네일스티커|이마트 트레이더스 위례점 B3층|11.25 ~ 12.08|2019-11-26|99.0|20191125|20191208|13|트레이더스홀세일클럽 위례점|경기 하남시 위례대로 200|127.14838297320392|37.48018806364219
74|알로봇|유아동 의류|신세계백화점 충청점|08.30~09.15|2019-09-04|101.0|20190830|20190915|16|신세계백화점 천안아산점|충남 천안시 동남구 만남로 43|127.15606633618994|36.81948953261511
75|프로젝트ㄱ|다양한 제품|강남구 가로수길 by대한민국(압구정로 12길 22)|9.5 - 9.28|2019-09-18|103.0|20190905|20190928|23|by대한민국|서울 강남구 가로수길 69|127.022380383862|37.5225543131502
76|스피커|전시|강남구 강남대로 162길 27, 신사하우스|02.04(토)-02.26(일)|2023-02-03|104.0|20230204|20230226|22|신사하우스|서울 강남구 강남대로162길 27|127.020633162734|37.5204048385658
