|id|subway_name|subway_line|distance|x|y
203|54|판교역|경강선|219|127.111982699564|37.394775885643
204|55|뚝섬역|2호선|947|127.04738727881|37.547241554679
205|55|서울숲역|수인분당선|935|127.044746216358|37.543645796605
206|55|성수역|2호선|402|127.056066999327|37.5445888153751
207|56|국회의사당역|9호선|971|126.91783895106|37.5281465047706
208|56|샛강역|9호선|943|126.9283750591322|37.51737287009036
209|56|샛강역|신림선|970|126.929463427672|37.5171662943088
210|56|여의나루역|5호선|425|126.93298596744|37.5271469489465
211|56|여의도역|9호선|620|126.92466104293|37.5211700890445
212|56|여의도역|5호선|578|126.924397990207|37.5217753947299
213|57|구로역|1호선|906|126.88230806229326|37.50334155631282
214|57|도림천역|2호선|857|126.882649092584|37.5145080414761
215|57|신도림역|1호선|154|126.891312500851|37.508908482648
216|57|신도림역|2호선|204|126.89161095407636|37.508222191535346
217|58|광화문역|5호선|884|126.97642427981408|37.57164860977568
218|58|명동역|4호선|599|126.98640235001736|37.56096526943837
219|58|시청역|1호선|405|126.97719821079865|37.56534539636417
220|58|시청역|2호선|560|126.97559827045151|37.56368183746611
221|58|을지로3가역|2호선|829|126.99098443539428|37.56629149790628
222|58|을지로3가역|3호선|974|126.992615486076|37.5664312655685
223|58|을지로입구역|2호선|131|126.9821953112953|37.566035517712955
224|58|종각역|1호선|603|126.98315081716676|37.570227990912244
225|58|회현역|4호선|742|126.9784372569283|37.55876114587941
226|59|신사역|3호선|487|127.02030856272764|37.51643597531432
227|59|신사역|신분당선|539|127.019551734927|37.5160820085929
228|59|압구정역|3호선|907|127.02850865895756|37.52649127416921
229|60|성수역|2호선|522|127.056066999327|37.5445888153751
230|61|잠실역|2호선|207|127.10023101886318|37.51331105877401
231|61|잠실역|8호선|488|127.103270523629|37.5143121584933
232|62|광화문역|5호선|884|126.97642427981408|37.57164860977568
233|62|명동역|4호선|599|126.98640235001736|37.56096526943837
234|62|시청역|1호선|405|126.97719821079865|37.56534539636417
235|62|시청역|2호선|560|126.97559827045151|37.56368183746611
236|62|을지로3가역|2호선|829|126.99098443539428|37.56629149790628
237|62|을지로3가역|3호선|974|126.992615486076|37.5664312655685
238|62|을지로입구역|2호선|131|126.9821953112953|37.566035517712955
239|62|종각역|1호선|603|126.98315081716676|37.570227990912244
240|62|회현역|4호선|742|126.9784372569283|37.55876114587941
241|63|한남역|경의중앙선|402|127.009209110584|37.5294289189437
242|64|홍대입구역|2호선|0|126.923778562273|37.5568707448873
243|64|홍대입구역|공항철도|289|126.927010430346|37.5573052656667
244|64|홍대입구역|경의중앙선|302|126.927118938976|37.5574494922411
245|65|몽촌토성역|8호선|992|127.11286534895457|37.5178055794687
246|65|석촌역|8호선|926|127.107004062699|37.5054141216925
247|65|석촌역|9호선|965|127.10676479806769|37.504972845773686
248|65|송파나루역|9호선|867|127.11266171422027|37.51101671275264
249|65|잠실나루역|2호선|834|127.103808749487|37.5207124124456
250|65|잠실역|2호선|266|127.10023101886318|37.51331105877401
251|65|잠실역|8호선|122|127.103270523629|37.5143121584933
252|66|건대입구역|2호선|692|127.06920291650829|37.54040751726388
253|66|건대입구역|7호선|850|127.071104284458|37.5408686005702
254|66|성수역|2호선|578|127.056066999327|37.5445888153751
255|67|광화문역|5호선|884|126.97642427981408|37.57164860977568
256|67|명동역|4호선|599|126.98640235001736|37.56096526943837
257|67|시청역|1호선|405|126.97719821079865|37.56534539636417
258|67|시청역|2호선|560|126.97559827045151|37.56368183746611
259|67|을지로3가역|2호선|829|126.99098443539428|37.56629149790628
260|67|을지로3가역|3호선|974|126.992615486076|37.5664312655685
261|67|을지로입구역|2호선|131|126.9821953112953|37.566035517712955
262|67|종각역|1호선|603|126.98315081716676|37.570227990912244
263|67|회현역|4호선|742|126.9784372569283|37.55876114587941
264|68|서대전네거리역|대전1호선|422|127.41257645927034|36.32242246757099
265|68|오룡역|대전1호선|958|127.40492144995|36.3286893013728
266|69|신사역|3호선|531|127.02030856272764|37.51643597531432
267|69|신사역|신분당선|596|127.019551734927|37.5160820085929
268|69|압구정역|3호선|810|127.02850865895756|37.52649127416921
269|70|판교역|신분당선|232|127.11119782955879|37.39477752734142
270|70|판교역|경강선|219|127.111982699564|37.394775885643
271|71|국회의사당역|9호선|971|126.91783895106|37.5281465047706
272|71|샛강역|9호선|943|126.9283750591322|37.51737287009036
273|71|샛강역|신림선|970|126.929463427672|37.5171662943088
274|71|여의나루역|5호선|425|126.93298596744|37.5271469489465
275|71|여의도역|9호선|620|126.92466104293|37.5211700890445
276|71|여의도역|5호선|578|126.924397990207|37.5217753947299
277|72|압구정로데오역|수인분당선|108|127.0406027693898|37.5275184818021
278|75|신사역|3호선|703|127.02030856272764|37.51643597531432
